id;name;email_address;review_date;over_all_seller_rating;over_all_seller_review;over_all_delivery_rating;over_all_delivery_review;review_as_anonymous;completed_review;last_edited_by;last_edited_when
1;Global withdrawal Licensed;"1WT@6\.|wRs_";2019-11-18T13:27:21;5122;../fake-data/blob/hipster.txt;68178;../fake-data/blob/hipster.txt;false;true;Yen;2019-11-19T02:32:45
2;Accounts Licensed;"x@h.azw^p";2019-11-18T23:35:36;56574;../fake-data/blob/hipster.txt;37335;../fake-data/blob/hipster.txt;false;false;cross-platform interface gold;2019-11-18T23:35:21
3;Small Savings Account;"V9yL@33.y&3}h";2019-11-19T06:42:02;78068;../fake-data/blob/hipster.txt;35493;../fake-data/blob/hipster.txt;false;true;Cambridgeshire Toys;2019-11-18T20:21:45
4;seize;"htY@I^2f.,/";2019-11-18T11:35:13;39069;../fake-data/blob/hipster.txt;89397;../fake-data/blob/hipster.txt;true;true;Intelligent;2019-11-18T19:19:53
5;firewall index Savings Account;"i:8!y@l4np8J.+Jj";2019-11-19T08:08:14;72011;../fake-data/blob/hipster.txt;9142;../fake-data/blob/hipster.txt;false;true;Corporate encompassing;2019-11-19T00:31:28
6;Cotton;"hu@zy2$XQ.m|)";2019-11-18T16:28:00;67311;../fake-data/blob/hipster.txt;83629;../fake-data/blob/hipster.txt;true;false;Granite connecting Mouse;2019-11-18T08:59:47
7;programming Avon;"!L6@tj.80";2019-11-18T09:48:34;35000;../fake-data/blob/hipster.txt;67086;../fake-data/blob/hipster.txt;true;true;Orchard;2019-11-18T12:20:15
8;Branding compress;"LV@s.rq1";2019-11-19T03:42:42;54120;../fake-data/blob/hipster.txt;82686;../fake-data/blob/hipster.txt;true;true;bypass interface;2019-11-19T03:24:37
9;Delaware SDD;"*r@iV\8.mU-y%P";2019-11-19T01:07:11;14278;../fake-data/blob/hipster.txt;74459;../fake-data/blob/hipster.txt;false;true;card Facilitator CFA Franc BEAC;2019-11-19T01:20:22
10;Bahraini Dinar Saint Helena Pound;"S5($Bz@Qg3.f`";2019-11-18T21:46:00;2170;../fake-data/blob/hipster.txt;48526;../fake-data/blob/hipster.txt;true;true;mesh;2019-11-18T21:45:20
